AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,sequentiality
3PH3VY7DJMJ5SJ2G0E52ELBGH21ZW9,1281,W1O12BLS,55.0,woman,white,1.0,1.0,4.0,4.0,3.332204510175204,my 50th high school reunion,recalled,my classmate stated he had wanted to ask me out but never did,0.0,,3PH3VY7DJMJ5SJ2G0E52ELBGH21ZW9,,,"I just attended my 50th High School Reunion.   I was able to reconnect with past classmates from over 50 years ago.  This was due to alot of my classmates also attended my grade school.  So, I was remembering some of them from over 60 years.  The memories that were relived by each of us had us laughing and crying.  I was grateful for the time I was able to see my old friends.  For a while, I was reluctant to attend this event.  This is because my best friend had died a few years prior.  She and I had attended our 20th reunion together.  In high school, we were inseparable.  Wherever she was, I was right there along with her.  At this reunion, they had a table set up with votive candles and cards in front of each one stating the classmate's name and the date of their death.  It was very emotional for me to see so many names of classmates I knew and missed.  At my table was my neighborhood girlfriend,  who lived down the street from me growing up.  She and her husband had moved out of state, as I and my husband did.  Out of our 367 graduates, 93 have passed away that we know of.  We had 75 graduates attend this reunion.  Not bad for 50 years.  It was a night I will long remember.  I am definitely glad that I attended.",1.0,I just recently attended my 50th High School Reunion.  I was able to reconnect with old friends.  My very first boyfriend was there and I was able to introduce him to my husband.,28.0,717.0599793148616
3DR23U6WE60FP77Q9MME6R3ZDV0ETS,2279,NNDUB232,30.0,man,white,1.0,4.0,,2.0,3.4011973816621555,going back to get a job,imagined,I almost puked from drinking too much,0.875,,34S9DKFK74BF0ZJXCRCW4VPN6IXNYF,2.0,Barely go out to drink,"A month ago, I moved out of a major city. I did this right when I graduated. I returned a couple years later looking for a job. I felt at home after reconnecting with friends. We had a great time going to my favorite pizza place. I got a large meat lovers. They got a cheese pizza. They paid for the bill. I was very thankful. Later that night, we went to the bar. I sung some karaoke. It was a fun time. I almost threw up from drinking. They helped me get a job. It took a few weeks, but I got a job at a accountant's office. It paid decently with great perks. I loved the workplace. This city is treating me well.",3.0,"I moved out of a major city upon graduation and then returned a couple years later looking for a job.  I was not sure how the city would treat me or if I would feel at home, however I was pleasantly surprised that I did feel quite at home, mostly because of reconnecting with friends.",30.0,381.51236513997844
3H0W84IWBLO29SUY5XHJ6C2HP24ER0,2076,WX1CHW94,25.0,woman,black,1.0,1.0,5.0,5.0,4.499809670330264,Marriage Anniversary,recalled,My dad cried,0.5,,3H0W84IWBLO29SUY5XHJ6C2HP24ER0,,,"May 15th was my mum and dad's 35th anniversary. They've been married for the last 35 years. As always, they organized an event to celebrate this important occasion. Although they thought that this was any other normal anniversary, you can imagine they had already celebrated 34, this was different. The children had planned something special for their big guys. All the four children are now employed, and thus everyone thought of contributing something small. In the end, we thought o taking our parents to vacation in Paris. This has been a dream vacation for my dad and mum. As my parents cut a birthday cake, my elder sister presented the two tickets to my dad and mum. This is the moment I can never forget. My dad and mum cried of the surprise. As they embraced everyone, the shed tears of joy. This showed me that parents need are and affection, just like children. The celebration ended with everyone happy and teary. Can I really forget the moment? I cannot forget such a moment. It will remain with me forever.",1.0,The story is about my parents 35th anniversary. The most memorable moment is when my dad and mum shed tears after receiving the two tickets for their dream vacation.,90.0,724.0998137865081
3WLEIWSYHP3XPI4FG8AOQ7RM04VH26,1743,XIAB60DM,35.0,man,white,1.0,1.0,3.0,5.0,5.48063892334199,My wedding,recalled,No major issues and someone twisted their ankle on the dance floor,1.0,3WLEIWSYHP3XPI4FG8AOQ7RM04VH26,3WLEIWSYHP3XPI4FG8AOQ7RM04VH26,,,"The event I am describing is not too far off in the past. It was December of 2018 and it was the year I got married. The time leading up to this event seemed to fly by fast. From the planning stages to the picking out of the venue and all the extras that come along with it. In my mind I figured this would feel like a drawn out process. However, looking back, it seemed like it flew by in the blink of an eye. What seemed like a point where we would have all the time in the world to plan and prep for everything we needed turned into a few last minute wants and needs that were taken care of only days before. I think most people were worried about the weather since it took place on December 15th. Chicago area weather is unpredictable, especially during the winter so it would be a game day decision on how things would go down. The day however, ended up being quite nice and the weather was unseasonably warmer than usual. Everything went off without a hitch and like the previous months of planning, the day seemed to be over in a blink of an eye. No major issues arose and everyone and everything was where it needed to be when needed. I think the biggest issue to arise was that someone twisted their ankle on the dance floor. In my book, if that is the worst thing to happen then that is a positive. The night ended, and all I remember is being exhausted from running around and entertaining guests and other family. I barely even had a chance to take a shot with family and friends to celebrate!",1.0,The event described details my wedding which occurred in December of 2018. The details described go over the year leading up to the event and the actual day itself.,240.0,559.1141898436522
30LB5CDZNDWCKT1V77CH7Q2C5OFZ07,1223,2C0NB8IP,25.0,man,black,1.0,1.0,,5.0,3.0445224377234235,our visit to the park,imagined,my eldest son danced outdoor as he was the naturally shy type.,0.125,,39GAF6DQWSMVIYH32TRE0P8QMTWV1Z,5.0,It made me feel good that I had an enjoyable family outing.,"It was just the beginning of the summer break. My wife had a maternity leave and is yet to resume. I made sure my own 12 days leave coincided with the particular time my wife had her maternity leave. So three weeks ago, after some days planning, we set on this picnic to the park. It was the first we had since we gave birth to our youngest son about 6 weeks earlier. I took my ford, stocked it with drinks and some food in the warmer and we set out. With me is my wife and our 3 sons. This park is a popular park and it's only a 2 hours drive from our apartment. By 7 am, we were already on our way. I stepped on the gas such that my wife had to caution me not to kill us. We blasted our favorite song ""Shakira - Try Everything"" and my eldest son with his brother were bouncing on the back seat. Our youngest son was suckling on the breast of his mother like his life depended on it. In no time, we were at the park. We packed our stuffs and headed for a cool spot. We took a walk around while my wife and I were talking about our last visit here before kids starting coming into our lives. We helped ourselves to the food in the warmer while I set music to the portable I brought along. We spent some 3 hours singing, dancing, eating, taking a walk and playing family games. When we were satisfied, we took our leave. All our sons slept on the way back. I guess it because they had an enjoyable time.",3.0,My wife and I took our three sons to a park several weeks ago. This was the first family outing we had taken since the birth of our youngest son several weeks earlier.,21.0,901.5130722330638
3EJPLAJKEN27Y4NA9WSYGRC3C4OZ6F,623,85QICT3U,18.0,woman,asian,5.0,2.0,,2.0,4.787491742782046,my resolution to change my internship,imagined,I found out my dream job was not so dreamy,0.5,,3ON104KXQLIPPMERFLFCKPY7Z644WP,4.0,It was partially made up. My internship was not that bad.,"It was a time that happened about four months ago. I was in college during that time. It was a not so wonderful period for me. I was interning for a job that despised. Everyday, someone complained about me to me. The mistakes were not my fault, but their fault. It was not the job that I dreamed about. It was a job with grueling tasks with no end in sight. So I started looking at a career change. It was hard to find an internship with a career related to my major. I went to several interviews and many rejected me. I still had to keep my old internship until I found a new one. Then someone from an opposing company came to visit. They noticed my work and asked if I would like to intern for them. Immediately I said yes. Ever since the change, I feel very satisfied and my skills have grown exponentially.",2.0,"I was looking for a career change. Someone noticed my work and asked if I would like to intern for them. Since then, my skills have grown exponentially.",120.0,471.05329022803784
3NLZY2D53QBG3XPQ94FNEHIWFMGQL6,1587,W0W8D2CP,25.0,woman,black,4.0,1.0,2.0,2.0,4.499809670330264,going to the zoo with the kids.,retold,they loved the water area.,0.875,3KGTPGBS6Y72U4AZG7HN9MGC2HB2UO,,,,"My friend and I took our kids to the zoo. They absolutely loved it, we saw so many animals and got to hang out with other people. It is one of the few times I wasn't stressed out at the zoo, but thinking about it I should have been. We didn't get to go to the reptile house but I think going to the water area made up for it. We had a wonderful time. For the first time my daughter wasn't in her stroller so she had the freedom to walk around with her brother and she loved that. My friends son used the stroller because he needed it more. We had lunch then went to the water park. The only thing we didn't get to do was the reptile house. My daughter had fun in the water, but there were a lot of older kids there for field trips. My son fit in with them, and she saw him and went right to him. My friends son got tired early so they left. But, I chose to stay longer so my kids could have fun. I had to get them toys from the gift shop, but it was fine. They picked out great toys and then we left.",4.0,I met my friend at the zoo with our kids. We went and walk around and then went to play in the water. The kids had fun and it was awesome.,90.0,617.5385110622932
33LK57MYLURCL2L7G9V1HW8VSNMZSO,3327,6CCVCF1T,35.0,woman,white,1.0,2.0,,1.0,4.787491742782046,my daughter's wedding and a reconciliation,imagined,my son and daughter reconciled with each other,0.0,,3IAS3U3I0G2NY51TGG0S4WOO2JL2BN,1.0,I don't identify at all with this.  My children are way too young to get married and no one in my family is arguing like that.,"Just four months ago, my daughter married her long time boyfriend.  I always knew they would get married but it was still kinda surprising and emotional when they announced it.  The wedding itself was just a small family affair that happened at the court house with a celebration afterwards.  She wanted it like that and I was fine with it too.  It was less planning and fanfare which is more her style.  One of the best things about this wedding is that my son came and he and my daughter got to be reunited with each other.  They've been arguing and hostile with each other for the past five years so this was kinda a big deal.  I was so glad to see them finally reconcile with each other because it's been a huge strain for me having them fighting with each other.  It makes it hard because neither will come to family get togethers like Christmas if they know the other is there and this makes me so sad.  I want the whole family together and it's just not the same if one is not there.  So this was a big deal to me and made the wedding all the more meaningful.  I didn't know that my son was going to come and actually I expected him not to, so I was really surprised when he showed up.  I saw him talking to my daughter later that night at our house and I expected it to get heated but to my surprise they were laughing and smiling.  Turns out from what he told me later they both apologized to each other and decided life was too short to continue arguing.  I am so glad and warmed in my heart that they have made up with each other.  It was tearing my heart apart that they had tension with each other and now I feel so much better.  I just hope they can continue getting along and don't fall back into that horrible state again.  Now I can't wait to become a grandmother.",1.0,"My daughter got married to her boyfriend. Also, my son and daughter were reacquainted after a long family squabble.",120.0,887.4038359095997
3TY7ZAOG5G6HVY297697KBE0Q4SK01,1293,HXBQ777O,25.0,man,white,1.0,2.0,,4.0,4.787491742782046,about my mother dying.,imagined,when i gained a renewed faith in god,0.875,,386PBUZZXGJZHALDEEVEHG6AR1XJLR,4.0,i went through a similar event a few years back,"Dear Diary, 4 month's ago my mother died in May. Heavy stuff to start off with i know, it was a very difficult time for as she was my last remaining close family. When i heard the news it was like my world was over. Mom and i were pretty close and we talked on the phone practically every day, it was like i lost my best friend and my mother. Afterwards i had to leave my job, i was just too emotional to keep working, i still get a little choked up when i think about her but its better now, mostly. My boss and coworkers were very understanding of my situation and there was no hard feelings in me leaving. I'm not gonna lie, i was a bit of a mess. I didn't fall off the rails too hard but i did go through a long period of depression were it was a effort to get out of bed in the morning. That went on for awhile until some of my friends invited me to one of their church group cookouts. i kinda felt like a third-wheel and was dragging down the atmosphere but i appreciated the thought. i found it to be a very good experience and the food was delicious. After everyone left my friend asked if i wanted to join his group for other church events, and i said yes. they certainly kept me busy let me tell you, not that i minded. I think that was primarily what helped get me through my crisis. and at the end i liked involving myself so much that i became a regular face at church. Diary, if there is one good thing that came out of this, its that i found and renewed my faith in God.",1.0,My mother died in May. She was my last remaining close family. It turned my life upside down and I had to leave work. The good that came out of this was it renewed my faith in God.,120.0,627.8174110728805
3R6BYFZZP8YEC2G6977HDC95415FXG,1002,QKNNIOAA,30.0,woman,white,1.0,1.0,4.0,5.0,4.787491742782046,a profound Mother's Day,recalled,when my son wrote poetry for the first time,1.0,3R6BYFZZP8YEC2G6977HDC95415FXG,3R6BYFZZP8YEC2G6977HDC95415FXG,,,"This past Mother's Day, my seven year old son presented me with a card. Inside he wrote a poem that said "" I love you evree second, I love you evree minute, I love you evree hour, I love you evree day, I love you evree year."" It was written on a piece of notebook paper with torn edges. It was decorated with hearts and stick figures of him and I. When he gave me the card he was a little embarrassed and told me to read it while he was in the other room. I looked at my husband and asked if he put him up to it and he said ""No, I had no idea!"" I read the little card and tears began to stream down my cheeks. I saw him peep around the doorway of the kitchen and then he ran and gave me a giant hug.  I'm writing about this because it profoundly impacted me as a mother and a human. To create a tiny creature that has the wherewithal  to write poetry was astounding. The fact that he loves me so much he sat down and thought of those words was beyond amazing. That evening once the kids went to bed, I sat on the porch in quiet contemplation. I have been a mother for seven years and a step-mother for nine years. To be honest, sometimes I feel that I'm failing. I'm not a perfect mom. My hair never looks good, I forget about PTO meetings. I listen to Punk and Metal. None of those things matter to my children. In the eyes of my children I am worthy of poetry and that's all that matters.",1.0,"This past Mother's Day, my seven year-old son made me a card and wrote me a poem. It completely changed how I view myself as a mother.",120.0,1019.8036353807416
3A1PQ49WVI3Q0XMJX4AALOHHG51H1V,6564,75PI49ES,40.0,man,white,1.0,3.0,5.0,5.0,4.0943445622221,My friend passed away.,recalled,Finding out that my friend had suddenly died.,1.0,3A1PQ49WVI3Q0XMJX4AALOHHG51H1V,,,,"In July I spoke with my friend Ted.  I hadn't talked to him in awhile, he was up in Wisconsin and I'm down in Florida these days, but around this time we would always go to Summerfest together, so I thought I would reach out to him.  We talked about possibly making the trip next year and seeing some bands together.   I was glad I reached out and talked to my old friend.   Two days later my girlfriend and I went to the movies.  On the drive home from the movie I was browsing Facebook.  I scrolled past a picture of my friend Ted with the caption ""We will miss you.""  I thought for sure I had to be seeing this wrong.   I had just spoken to him.  Turns out he had an epileptic seizure and died.  It was sudden.  I was in shock.  It took me an hour to even process what I had just seen.  After a little while I had a drink and just hung out and listened to some music from bands I used to go see with my friend.  I reminisced about all the good times we had.   I started to feel grateful that I had just talked to him, but even more sad that we wouldn't be able to get together one last time for Summerfest.  One thing that has really stuck with me the rest of the summer, I need to be better at seeing and reaching out to friends.",4.0,"My friend Ted passed away this Summer, I had just spoken to him and it was a real shock.   We had plans to get together next year and it breaks my heart that we wont be able to do that.",60.0,772.2781943973388
3ZOTGHDK5JX0MY70E0KK1Y1RG0BOS9,4754,750QIGML,25.0,woman,white,2.0,1.0,5.0,5.0,67.97894050115326,getting married and my small home wedding,recalled,my dress broke the morning of my wedding day,0.875,,3ZOTGHDK5JX0MY70E0KK1Y1RG0BOS9,,,"This June, my boyfriend and I decided to get married. We had been talking about it for a while, and the timing finally seemed right. We couldn't afford a large wedding ceremony and reception and all of the expenses that go along with traditionally getting married in the United States, so we decided to elope at home. We planned a short, private ""ceremony"" in our living room to be held the following week, and we invited only our close and direct family members to attend. In that week, I bought a casual $100 white dress and a small faux bouquet of flowers for our ceremony. My boyfriend and I were nervous a bit that we were moving too fast or not thinking everything through, but we knew we wanted to be married and that pre-wedding jitters are normal. The night before we married, we went out for a special dinner just the two of us. We discussed our nerves but also our excitement, and we wrapped up our vows that we planned on saying to each other. The next morning, the strap on my dress broke and we told our families to come over an hour later than planned so I could fix it to wear for our marriage. I was stressed out and cried a bit, wondering if this was a mistake and that we should wait to have a ""proper"" engagement and wedding. However, I told myself that the wedding itself wasn't the important part, the marriage was, and I was positive I wanted to get married. I fixed my dress, our families arrived, and everything was wonderful. We played some music and read our vows, I got very emotional and cried, and so did our families. My husband's family surprised us with a beautiful cake and champagne, and we had a toast and cut the cake. We grabbed a broomstick from our basement and jumped over it since our wedding was actually more of an elopement. We took a ton of photos in our living room to remember the special day, and went out to dinner together as a new family. I'll always remember this special day that I got married even though it wasn't what I imagined it to be. It was low-key and casual, and it was very special to us even though it was not a traditional wedding.",1.0,"This summer, my boyfriend and I decided to get married. We planned a small ceremony at home for our families to attend. I was nervous we were moving too fast and that it wouldn't be special, but everything ended up beautiful and was a very special day for me.",3.333333333333333e+29,712.2953494965054
